type,text
spam,please call customer service representative 0800 169 6031 10am-9pm won guaranteed £1000 cash £5000 prize 
ham,havent planning buy later  i check already lido got 530 show e afternoon  u finish work already 
spam,"your free ringtone waiting collected  simply text password ""mix"" 85069 verify  get usher britney  fml  po box 5249  mk17 92h  450ppw 16"
ham,watching telugu movie  wat abt u 
ham,see  when finish loads loans pay
ham,"hi  wk ok - hols now  yes bit run  forgot hairdressers appointment four need get home n shower beforehand  does cause prob u """
ham,i see cup coffee animation
ham,please text anymore  i nothing else say 
ham,okay name ur price long legal  wen i pick up  y u ave x ams xx
ham,i'm still looking car buy  and gone 4the driving test yet 
ham,as per request 'melle melle (oru minnaminunginte nurungu vettam)' set callertune callers  press *9 copy friends callertune
ham,wow  you're right  i mean that  i guess gave boston men changed search location nyc  something changed  cuz signin page still says boston 
ham,umma life vava umma love lot dear
ham,thanks lot wishes birthday  thanks making birthday truly memorable 
ham,aight  i'll hit i get cash
ham,how would ip address test considering computer minecraft server
ham,i know  grumpy old people  my mom like better lying  then i always one play jokes   
ham,dont worry  i guess he's busy 
ham,what plural noun research 
ham,going dinner msg after 
ham,i'm ok wif cos like 2 try new things  but scared u dun like mah  cos u said loud 
spam,gent  we trying contact you  last weekends draw shows £1000 prize guaranteed  call 09064012160  claim code k52  valid 12hrs only  150ppm
ham,wa  ur openin sentence formal    anyway  i'm fine too  juz tt i'm eatin much n puttin weight   haha    so anythin special happened 
ham,as i entered cabin pa said  '' happy b'day boss   ''  i felt special  she askd 4 lunch  after lunch invited apartment  we went there 
spam,you winner u specially selected 2 receive £1000 4* holiday (flights inc) speak live operator 2 claim 0871277810910p/min (18+)
ham,goodo  yes must speak friday - egg-potato ratio tortilla needed 
ham,hmm   my uncle informed he's paying school directly  so pls buy food 
spam,private  your 2004 account statement 07742676969 shows 786 unredeemed bonus points  to claim call 08719180248 identifier code: 45239 expires
spam,urgent  your mobile no  awarded £2000 bonus caller prize 5/9/03 this final try contact u  call landline 09064019788 box42wr29c  150ppm
ham,new address -apples&pairs&all malarky
spam,todays voda numbers ending 7548 selected receive $350 award  if match please call 08712300220 quoting claim code 4041 standard rates app
ham,i going sao mu today  will done 12
ham,ü predict wat time ü'll finish buying 
ham,good stuff  do 
ham,just know yetunde sent money yet  i sent text bother sending  so over  dont involve anything  i imposed anything first place that  apologise 
ham,are room 
ham,hey girl  how r u  hope u r well me an del r bak  again long time no c  give me a call sum time from lucyxx
ham,k  k:)how much cost 
ham,i'm home 
ham,dear  call tmorrow pls accomodate 
ham,first answer question 
spam,sunshine quiz wkly q  win top sony dvd player u know country algarve in  txt ansr 82277  £1 50 sp:tyrone
spam,want 2 get laid tonight  want real dogging locations sent direct 2 ur mob  join uk's largest dogging network bt txting gravel 69888  nt  ec2a  31p msg@150p
ham,i haf msn  it's yijue@hotmail com
ham,he there  you call meet
ham,no no  i check rooms befor activities
spam,you'll rcv msgs chat svc  for free hardcore services text go to: 69988 if u get nothing u must age verify yr network & try
ham,got c    i lazy type    i forgot ü lect    i saw pouch like v nice   
ham,k  text way
ham,sir  waiting mail 
ham,"a swt thought: ""nver get tired little things 4 lovable persons  "" coz  somtimes little things occupy biggest part hearts   gud ni8"
ham,i know are  can pls open back 
ham,yes see ya dot
ham,whats staff name taking class us 
spam,freemsg why replied text  i'm randy  sexy  female live local  luv hear u  netcollex ltd 08700621170150p per msg reply stop end
ham,ummma will call check in our life begin qatar pls pray hard 
ham,k  i deleted contact why 
ham,sindu got job birla soft   
ham,the wine flowing i'm nevering  
ham,yup thk cine better cos need 2 go 2 plaza mah 
ham,ok    ur typical reply   
ham,as per request 'melle melle (oru minnaminunginte nurungu vettam)' set callertune callers  press *9 copy friends callertune
ham,you everywhere dirt  floor  windows  even shirt  and sometimes open mouth  comes flowing out  i dream world without you  half chores too  a time joy me  lots tv shows i ll see  but guess like things must exist  like rain  hail mist  time done  become one 
ham,aaooooright work 
ham,i'm leaving house now   
ham,hello  love  what doing  did get interview today  are happy  are good boy  do think me are missing  
spam,customer service annoncement  you new years delivery waiting you  please call 07046744435 arrange delivery
spam,you winner u specially selected 2 receive £1000 cash 4* holiday (flights inc) speak live operator 2 claim 0871277810810
ham,keep safe i need i miss already i envy everyone see's real life
ham,new car house parents :)i new job hand:)
ham,i'm love you  i'm excited day spend you  you make happy 
spam,-pls stop bootydelious (32/f) inviting friend  reply yes-434 no-434 see her: www sms ac/u/bootydelious stop  send stop frnd 62468
spam,bangbabes ur order way  u should receive service msg 2 download ur content  if u not  goto wap  bangb  tv ur mobile internet/service menu
ham,i place ur points e cultures module already 
spam,urgent  we trying contact you  last weekends draw shows £900 prize guaranteed  call 09061701939  claim code s89  valid 12hrs
ham,hi frnd  best way avoid missunderstding wit beloved one's 
ham,great escape  i fancy bridge needs lager  see tomo
ham,yes :)it completely form:)clark also utter waste 
ham,sir  i need axis bank account bank address 
ham,hmmm   thk sure got time hop ard    ya  go 4 free abt    muz call u discuss liao   
ham,what time coming later 
ham,bloody hell  cant believe forgot surname mr   ill give u clue  spanish begins m   
ham,well  i'm gonna finish bath now  have good   fine night 
ham,let know got money carlos make call
ham,u still going mall 
ham,turns friends staying whole show back til ~ &lt;#&gt;   feel free go ahead smoke $ &lt;#&gt; worth
ham,text her  if doesnt reply let know log
ham,hi  you spoke maneesha v  we'd like know satisfied experience  reply toll free yes no 
ham,you lifted hopes offer money  i need  especially end month approaches hurts studying  anyways gr8 weekend
ham,lol no  u trust me 
ham,ok  i gentleman treat dignity respect 
ham,he will  guys close 
ham,going nothing great bye
ham,hello handsome   are finding job   not lazy   working towards getting back net mummy   where's boytoy   does miss  
ham,haha awesome  minute
spam,please call customer service representative freephone 0808 145 4742 9am-11pm won guaranteed £1000 cash £5000 prize 
ham,have got xmas radio times  if get
ham,i jus reached home  i go bathe first  but sis using net tell u finishes k   
spam,are unique enough  find 30th august  www areyouunique co uk
ham,i'm sorry  i've joined league people dont keep touch  you mean great deal me  you friend times even great personal cost  do great week |
ham,hi :)finally completed course:)
ham,it stop itself  i however suggest stays someone able give ors every stool 
ham,how doing  hope settled new school year  just wishin gr8 day
ham,gud mrng dear hav nice day
ham,did u got persons story
ham,hamster dead  hey tmr meet 1pm orchard mrt 
ham,hi kate evening  i hope see tomorrow bit bloody babyjontet  txt back u can  :) xxx
ham,found it  enc &lt;#&gt;   at 
ham,i sent &lt;#&gt; bucks
ham,hello darlin ive finished college txt u finish u love kate xxx
ham,your account refilled successfully inr &lt;decimal&gt;   your keralacircle prepaid account balance rs &lt;decimal&gt;   your transaction id kr &lt;#&gt;  
ham,goodmorning sleeping ga 
ham,u call alter 11 ok 
ham,ü say like dat dun buy ericsson oso cannot oredi lar   
ham,as i entered cabin pa said  '' happy b'day boss   ''  i felt special  she askd 4 lunch  after lunch invited apartment  we went there 
ham,aight yo  dats straight dogg
ham,you please give us connection today &lt;decimal&gt; refund bill
ham,both :) shoot big loads get ready 
ham,what's bruv  hope great break  do rewarding semester 
ham,home always chat
ham,k:)k:)good:)study well 
ham,yup    how ü noe leh   
ham,sounds great  are home now 
ham,finally match heading towards draw prediction 
ham,tired  i slept well past nights 
ham,easy ah sen got selected means good  
ham,i take exam march 3
ham,yeah should  i think use gt atm register  not sure there's anyway help let know  but sure ready 
ham,ok prob  take ur time 
ham,there os called ubandu run without installing hard disk   you use os copy important files system give repair shop  
ham,sorry  i'll call later
ham,u say leh    of course nothing happen lar  not say v romantic jus bit lor  i thk e nite scenery nice leh 
spam,500 new mobiles 2004  must go  txt: nokia no: 89545 & collect today from only £1 www 4-tc biz 2optout 087187262701 50gbp/mtmsg18
ham,would really appreciate call me  just need someone talk to 
spam,will u meet ur dream partner soon  is ur career 2 flyng start  2 find free  txt horo followed ur star sign  e  g  horo aries
ham,hey company elama po mudyadhu 
ham,life strict teacher    bcoz teacher teaches lesson &amp; conducts exam  but life first conducts exam &amp; teaches lessons  happy morning     
ham,dear good morning
ham,get gandhipuram walk cross cut road  right side &lt;#&gt; street road turn first right 
ham,dear going rubber place
ham,sorry battery died  yeah i'm
ham,yes:)here tv always available work place  
spam,text & meet someone sexy today  u find date even flirt u  join 4 10p  reply name & age eg sam 25  18 -msg recd@thirtyeight pence
ham,i printed oh  so &lt;#&gt; come upstairs
ham,or ill little closer like bus stop street
ham,where you when wil reach here 
ham,new theory: argument wins situation  loses person  so dont argue ur friends just         kick &amp; say  i'm always correct  
spam,u 447801259231 secret admirer looking 2 make contact u-find r*reveal thinks ur special-call 09058094597
ham,tomarrow final hearing laptop case cant 
ham,pleassssssseeeeee tel me v avent done sportsx
ham,okay  no no  shining on  that meant signing  sounds better 
ham,although told u dat i'm baig face watches really like e watch u gave cos fr u  thanx 4 everything dat u've done today  i'm touched   
ham,u remember old commercial 
ham,too late  i said website  i dont slippers
ham,i asked call ok
ham,kallis wont bat 2nd innings 
ham,it didnt work oh  ok goodnight then  i ll fix ready time wake up  you dearly missed good night sleep 
spam,congratulations ur awarded 500 cd vouchers 125gift guaranteed & free entry 2 100 wkly draw txt music 87066 tncs www ldew com1win150ppmx3age16
ham,ranjith cal drpd deeraj deepak 5min hold
ham,wen ur lovable bcums angry wid u  dnt take seriously   coz angry childish n true way showing deep affection  care n luv    kettoda manda    have nice day da 
ham,what doing how you 
ham,ups 3days also  shipping company takes 2wks  the way usps takes week gets lag may bribe nipost get stuff 
ham,i'm back  lemme know ready
ham,don't necessarily expect done get back though i'm headin
ham,mmm yummy babe     nice jolt suzy
ham,where lover   i need    
spam,we tried contact reply offer video handset  750 anytime networks mins  unlimited text  camcorder  reply call 08000930705 now
ham,i‘m parked next mini     when coming today think 
ham,yup
ham,anyway i'm going shopping now  cos sis done yet  dun disturb u liao 
ham,my no  in luton 0125698789 ring me if ur around  h*
spam,hey i really horny want chat see naked text hot 69698 text charged 150pm unsubscribe text stop 69698
ham,why dint come us 
ham,same  wana plan trip sometme
ham,not sure yet  still trying get hold
spam,ur ringtone service changed  25 free credits  go club4mobiles com choose content now  stop  txt club stop 87070  150p/wk club4 po box1146 mk45 2wt
ham,the evo  i download flash  jealous 
spam,ringtone club: get uk singles chart mobile week choose top quality ringtone  this message free charge 
ham,come mu  we're sorting narcotics situation
ham,night ended another day  morning come special way  may smile like sunny rays leaves worries blue blue bay 
spam,hmv bonus special 500 pounds genuine hmv vouchers won  just answer 4 easy questions  play now  send hmv 86688 more info:www 100percent-real com
ham,usf i guess  might well take 1 car
ham,no objection  my bf coming 
ham,thanx   
ham,tell rob mack gf theater
ham,awesome  i'll see bit
ham,just sent it  so type food like 
ham,all done  all handed in  celebrations full swing yet 
ham,you got called tool 
ham,"""wen u miss someone  person definitely special u      but person special  miss them  keep-in-touch"" gdeve  "
ham,ok  i asked money far
ham,okie   
ham,yeah i think usual guy's still passed last night  get ahold anybody let know i'll throw
ham,k  i might come tonight class lets early
ham,ok  
ham,hi baby im cruisin girl friend r u 2  give call hour home thats alright fone fone love jenny xxx
ham,my life means lot me  not i love life  but i love people life  the world calls friends  i call world:-)   ge:-)  
ham,dear shall mail tonite busy street shall update tonite things looking ok varunnathu edukkukayee raksha ollu but good one real sense 
ham,hey told name gautham ah 
ham,haf u found him  i feel stupid da v cam working 
ham,oops  4 got bit 
ham,are much buzy
ham,i accidentally deleted message  resend please 
spam,t-mobile customer may claim free camera phone upgrade & pay & go sim card loyalty  call 0845 021 3680 offer ends 28thfeb t&c's apply
ham,unless situation you go gurl would appropriate
ham,hurt me    tease me    make cry    but end life die plz keep one rose grave say stupid i miss u   have a nice day bslvyl
ham,i cant pick phone right now  pls send message
ham,need coffee run tomo can't believe time week already
ham,awesome  i remember last time got somebody high first time diesel :v
ham,shit really shocking scary  cant imagine second  def night out  do u think somewhere could crash night  save taxi 
ham,oh way food fridge  want go meal tonight 
ham,he womdarfull actor
spam,sms  ac blind date 4u : rodds1 21/m aberdeen  united kingdom  check him http://img  sms  ac/w/icmb3cktz8r7 -4 blind dates send hide
ham,yup    from remb    i think book   
ham,jos ask u wana meet up 
ham,lol yes  our friendship hanging thread cause u buy stuff 
spam,themob> check newest selection content  games  tones  gossip  babes sport  keep mobile fit funky text wap 82468
ham,where garage keys  they bookshelf
ham,today accept day  u accept as  brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy
spam,think ur smart   win £200 week weekly quiz  text play 85222 now t&cs winnersclub po box 84  m26 3uz  16+  gbp1 50/week
ham,he says he'll give call friend's got money he's definitely buying end week
ham,hi way i u 2day  normal way&this real me  ur unique&i hope i know u 4 rest mylife  hope u find wot lost 
ham,you made day  do great day too 
ham,k k:)advance happy pongal 
ham,hmmm    guess go 4 kb n power yoga    haha  dunno tahan power yoga anot    thk got lo oso  forgot liao   
ham,not really dude  friends i'm afraid :(
spam,december only  had mobile 11mths+  you entitled update latest colour camera mobile free  call the mobile update co free 08002986906
ham,coffee cake  guess   
ham,merry christmas babe  love ya *kisses*
ham,hey    why dont go watch x men lunch    haha
ham,cud u tell ppl im gona b bit l8 cos 2 buses hav gon past cos full & im still waitin 4 1  pete x
ham,that would great  we'll guild  could meet bristol road somewhere - get touch weekend  our plans take flight  have good week
ham,no problem  how doing 
ham,no calls  messages  missed calls
ham,hi da:)how todays class 
ham,i'd say that's good sign but  well  know track record reading women
ham,cool  text parked
ham,i'm reading text sent you  its meant joke  so read light
ham,k k:)apo k good movie 
ham,maybe could get book tomo return immediately     or something 
spam,call germany 1 pence per minute  call fixed line via access number 0844 861 85 85  no prepayment  direct access 
ham,any chance might evaporated soon violated privacy stealing phone number employer's paperwork  not cool all  please contact i report supervisor 
spam,valentines day special  win £1000 quiz take partner trip lifetime  send go 83600 now  150p/msg rcvd  custcare:08718720201 
ham,ta-daaaaa  i home babe  still  
ham,cool  so come havent wined dined before 
ham,just sleeping  and surfing
ham,sorry  i'll call later
ham,u calling right  call hand phone   
ham,ok that's great thanx lot 
ham,i take post come then  you must 1000s texts now  happy reading  my one wiv hello caroline end favourite  bless
ham,where u hiding stranger 
ham,am interested like that 
ham,my sister cleared two round birla soft yesterday 
ham,gudnite    tc   practice going
ham,dis yijue  i jus saw ur mail  in case huiming havent sent u num  dis num 
ham,one small prestige problem now 
spam,fancy shag  i do interested  sextextuk com txt xxuk suzy 69876  txts cost 1 50 per msg  tncs website  x
ham,just checking you  really miss seeing jeremiah  do great month
ham,nah can't help there  i've never iphone
ham,if car hour half i'm going apeshit
ham,today sorry day   if ever angry you  ever misbehaved hurt you  plz plz just slap urself bcoz  its ur fault  i'm basically good
ham,yo guys ever figure much need alcohol  jay i trying figure much safely spend weed
ham,&lt;#&gt; ish minutes was 5 minutes ago  wtf 
ham,thank you calling forgot say happy onam sirji i fine remembered met insurance person meet you qatar insha allah rakhesh  ex tata aig joined tissco tayseer 
spam,congratulations ur awarded 500 cd vouchers 125gift guaranteed & free entry 2 100 wkly draw txt music 87066 tncs www ldew com1win150ppmx3age16
spam,ur cash-balance currently 500 pounds - maximize ur cash-in send cash 86688 150p/msg  cc: 08708800282 hg/suite342/2lands row/w1j6hl
ham,i'm actor  when work  work evening sleep late  since i'm unemployed moment  always sleep late  when unemployed  every day saturday 
ham,hello  just got here  st andrews-boy long way  its cold  i keep posted
ham,ha ha cool cool chikku chikku:-):-db-)
ham,oh ok prob  
ham,check audrey's status right
ham,busy here  trying finish new year  i looking forward finally meeting you   
ham,good afternoon sunshine  how dawns day   are refreshed happy alive  do breathe air smile   i think you  love     as always
ham,well know z take care me  so worries 
spam,update_now - xmas offer  latest motorola  sonyericsson & nokia & free bluetooth  double mins & 1000 txt orange  call mobileupd8 08000839402 call2optout/f4q=
spam,here discount code rp176781  to stop messages reply stop  www regalportfolio co uk  customer services 08717205546
ham,wat uniform  in get 
ham,cool  text ready
ham,hello boytoy     geeee i miss already i woke up  i wish bed me  cuddling me  i love    
ham,i spoil bed well :)
ham,i'm going bath msg next &lt;#&gt; min  
ham,i cant keep talking people sure pay agree price  so pls tell want really buy much willing pay
spam,thanks ringtone order  reference t91  you charged gbp 4 per week  you unsubscribe anytime calling customer services 09057039994
ham,can say happen
ham,you could seen me  i did't recognise face :)
ham,well there's lot things happening lindsay new years *sighs* some bars ptbo blue heron something going
ham,keep payasam rinu brings
ham,i taught ranjith sir called me  so sms like that  becaus hes verifying project  prabu told today pa dont mistake me  
ham,i guess that's worried  you must know there's way body repairs itself  and i'm quite sure worry  we'll take slow  first tests  guide ovulation relax  nothing said reason worry i ll keep followin up 
ham,yeah sure  give couple minutes track wallet
ham,hey leave it  big deal:-) take care 
ham,hey late ah    meet 945+
spam,double mins txts 4 6months free bluetooth orange  available sony  nokia motorola phones  call mobileupd8 08000839402 call2optout/n9dx
ham,it took mr owl 3 licks
ham,customer place call you 
ham,mm time dont like fun
spam,4mths half price orange line rental & latest camera phones 4 free  had phone 11mths   call mobilesdirect free 08000938767 update now  or2stoptxt
ham,yup lunch buffet now   u eat already 
ham,huh late    fr dinner 
ham,hey sat going intro pilates only  or kickboxing too 
ham,morning ok 
ham,yes think so  i office lap room think thats last days  i didnt shut
ham,pick bout 7 30ish  what time going 
ham,from the performance award calculated every two month not current one month period  
ham,was actually sleeping still might u call back  so text gr8  you rock sis  will send u text wen wake 
ham,you always putting business there  you put pictures ass facebook  you one open people i've ever met  why would think picture room would hurt you  make feel violated 
ham,good evening sir  al salam wahleykkum sharing happy news by grace god  got offer tayseer tissco joined hope fine inshah allah meet sometime rakhesh visitor india 
ham,hmmm   k   but want change field quickly da:-)i wanna get system administrator network administrator  
spam,free ringtone text first 87131 poly text get 87131 true tone  help  0845 2814032 16 1st free  tones 3x£150pw e£nd txt stop
ham,dear chechi  did talk
ham,the hair cream shipped 
ham,none that's happening til get though
ham,yep  great loxahatchee xmas tree burning &lt;#&gt; starts hour
ham,haha get used driving usf man  i know lot stoners
ham,all well slightly disastrous class pm fav darlings  hope day ok  coffee wld good can't stay late tomorrow  same time + place always 
ham,hello  good week  fancy drink something later 
ham,headin towards busetop
ham,message:some text missing* sender:name missing* *number missing *sent:date missing *missing u lot thats everything missing sent via fullonsms com
ham,come room point iron plan weekend
ham,cos want thing
ham,okies    i'll go yan jiu too    we skip ard oso  go cine den go mrt one  blah blah blah   
ham,bring home wendy =d
spam,100 dating service cal;l 09064012103 box334sk38ch
ham,whatsup there  dont u want sleep
ham,alright new goal
spam,free entry £250 weekly competition text word win 80086 now  18 t&c www txttowin co uk
ham,alright  i'll head minutes  text meet
spam,send logo 2 ur lover - 2 names joined heart  txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo  pobox36504w45wq txtno 4 ads 150p
ham,yes:)from last week i'm taking live call 
spam,someone contacted dating service entered phone fancy you  to find call landline 09111032124   pobox12n146tf150p
ham,siva hostel aha:- 
spam,urgent  your mobile number awarded £2000 prize guaranteed  call 09058094455 land line  claim 3030  valid 12hrs
ham,send ur friends receive something ur voice      how speaking expression  1 childish 2 naughty 3 sentiment 4 rowdy 5 ful attitude 6 romantic 7 shy 8 attractive 9 funny &lt;#&gt;  irritating &lt;#&gt;  lovable  reply me  
ham,ok  she'll ok  i guess
ham,aathi  where dear  
ham,any pain urination thing else 
ham,7 esplanade   do ü mind giving lift cos got car today  
ham,i wnt buy bmw car urgently  its vry urgent but hv shortage &lt;#&gt; lacs there source arng dis amt  &lt;#&gt; lacs  thats prob
ham,at home watching tv lor 
ham,does usually take fifteen fucking minutes respond yes question
spam,congrats  nokia 3650 video camera phone call 09066382422 calls cost 150ppm ave call 3mins vary mobiles 16+ close 300603 post bcm4284 ldn wc1n3xx
ham,booked ticket pongal 
ham,you available now  i'm like right around hillsborough &amp; &lt;#&gt; th
ham,the message sent askin &lt;#&gt; dollars  shoul pay &lt;#&gt; &lt;#&gt;  
ham,ask g iouri  i've told story like ten times already
ham,how long applebees fucking take
ham,hi hope u get txt~journey hasnt gd now 50 mins late i think 
ham,but to  i like love arrange 
ham,yes  he really great  bhaji told kallis best cricketer sachin world:) very tough get out 
ham,you supposed wake me &gt;:(
ham,oic    i saw tot din c me    i found group liao   
ham,sorry  i'll call later
ham,"""hey hey werethe monkeespeople say we monkeyaround  howdy gorgeous  howu doin  foundurself a jobyet sausage love jen xxx"""
ham,sorry  battery died  i come i'm getting gram now  where's place 
ham,well done  blimey  exercise  yeah  kinda remember wot is  hmm 
ham,i wont get concentration dear know mind everything :-)
ham,lol     have made plans new years 
ham,10 min later k   
ham,hanks lotsly 
ham,thanks hope good day today
ham,k:)k:)what detail want transfer acc enough 
ham,ok tell stay out  yeah tough optimistic things improve month 
spam,loan purpose £500 - £75 000  homeowners + tenants welcome  have previously refused  we still help  call free 0800 1956669 text back 'help'
ham,si si  i think ill go make oreo truffles 
ham,look at amy ure a beautiful  intelligent woman and i like u a lot  i know u don't like me like that so don't worry 
ham,i hope that's result consistently intelligent kind  start asking practicum links keep ears open best  ttyl
ham,1 20 call cost  which guess isnt bad  miss ya  need ya  want ya  love ya
ham,going thru different feeling wavering decisions coping individual time heal everything believe 
ham,where u go  my phone gonna die stay
ham,great  never better  each day gives even reasons thank god
spam,upgrdcentre orange customer  may claim free camera phone upgrade loyalty  call 0207 153 9153  offer ends 26th july  t&c's apply  opt-out available
ham,sorry  i'll call later ok bye
ham,ok way railway
ham,great princess  i love giving receiving oral  doggy style fave position  how you  i enjoy making love &lt;#&gt; times per night :)
ham,they put stuff roads keep getting slippery there 
ham,when going ride bike 
ham,yup  need  i'll jus wait 4 e rain 2 stop 
ham,there many company  tell language 
spam,okmail: dear dave final notice collect 4* tenerife holiday #5000 cash award  call 09061743806 landline  tcs sae box326 cw25wx 150ppm
ham,how long since screamed  princess 
ham,nothing  i meant money enters account here  bank remove flat rate  someone transfered &lt;#&gt; account &lt;#&gt; dollars got removed  so banks differ charges also differ be sure trust 9ja person sending account details cos   
spam,want 2 get laid tonight  want real dogging locations sent direct 2 ur mob  join uk's largest dogging network txting moan 69888nyt  ec2a  31p msg@150p
ham,nice line said broken heart- plz cum 1 times infront me    other wise i trust u    good 9t:)
ham,ok i'm gonna head usf like fifteen minutes
ham,love aathi  love u lot  
ham,tension ah what machi any problem 
ham,k  i pick another 8th done 
ham,when're guys getting back  g said thinking staying mcr
ham,almost there  see u sec
ham,yo carlos  friends already asking you  working weekend 
ham,watching tv lor   
